Price,Year,Mileage,State,Make,Model
18500,2016,11341, IL,Buick,EncoreFWD
19430,2017,5979, AZ,Buick,EncoreFWD
16790,2015,13520, GA,Buick,EncoreAWD
18524,2016,11100, OH,Buick,EncoreFWD
18850,2015,2571, MI,Buick,EncoreFWD
17129,2015,19344, MO,Buick,EncoreFWD
18893,2016,10873, NE,Buick,EncoreFWD
18878,2016,5339, OH,Buick,EncoreFWD
16473,2014,17809, PA,Buick,EncoreFWD
15989,2014,24613, AL,Buick,EncoreConvenience
14900,2015,43214, AL,Buick,EncoreFWD
19991,2017,2243, MD,Buick,EncoreFWD
16250,2015,20306, KY,Buick,EncoreFWD
13585,2014,48694, FL,Buick,EncoreConvenience
18411,2016,12756, FL,Buick,EncoreFWD
16490,2015,17472, GA,Buick,EncoreFWD
16500,2015,17360, AZ,Buick,EncoreFWD
14273,2016,55845, KY,Buick,EncoreFWD
15860,2014,26623, AL,Buick,EncoreFWD
17000,2015,16125, GA,Buick,EncoreConvenience
16000,2015,29061, FL,Buick,EncoreFWD
15499,2015,29539, IL,Buick,EncoreConvenience
18410,2016,10905, FL,Buick,EncoreFWD
16809,2014,23037, MD,Buick,EncoreLeather
14984,2014,37209, TN,Buick,EncoreFWD
14749,2014,40049, TN,Buick,EncoreConvenience
3987,2007,150046, IL,Buick,Terraza4dr
16877,2015,30498, CA,Buick,EncoreFWD
16995,2014,22869, PA,Buick,EncoreConvenience
19488,2017,8894, TX,Buick,EncoreFWD
17998,2015,13077, VA,Buick,EncoreFWD
15750,2015,26925, KY,Buick,EncoreFWD
16250,2015,20913, KY,Buick,EncoreFWD
17723,2015,16428, VA,Buick,EncoreFWD
14500,2014,33420, NC,Buick,EncoreConvenience
17990,2015,6848, TX,Buick,EncoreFWD
19250,2015,8103, KS,Buick,EncoreLeather
15800,2014,27707, MI,Buick,EncoreFWD
4500,2003,175813, FL,Buick,RendezvousCX
15491,2015,36951, GA,Buick,EncoreFWD
16987,2015,22114, KY,Buick,EncoreAWD
14618,2014,28071, FL,Buick,EncoreFWD
17995,2015,14819, NJ,Buick,EncoreFWD
13674,2014,53537, TN,Buick,EncoreFWD
16750,2015,15346, KY,Buick,EncoreFWD
19220,2016,4110, TX,Buick,EncoreFWD
14725,2014,31231, MD,Buick,EncoreFWD
16495,2014,28457, TX,Buick,EncoreConvenience
16000,2015,42603, VA,Buick,EncoreLeather
14999,2014,27971, IL,Buick,EncoreConvenience
14988,2014,37595, IL,Buick,EncoreFWD
15730,2015,27787, GA,Buick,EncoreFWD
15900,2014,26112, OH,Buick,EncoreConvenience
15991,2014,22312, FL,Buick,EncoreConvenience
3500,2006,145732, OH,Buick,Terraza4dr
16739,2014,22760, NH,Buick,EncoreAWD
17091,2015,21325, OK,Buick,EncoreConvenience
18980,2015,17340, CO,Buick,EncoreAWD
17500,2015,16540, NJ,Buick,EncoreFWD
16855,2016,34926, FL,Buick,EncoreFWD
14500,2014,44237, KY,Buick,EncoreAWD
16541,2015,30564, IL,Buick,EncoreConvenience
16698,2014,21249, MD,Buick,EncoreConvenience
16994,2016,21665, TX,Buick,EncoreFWD
17697,2016,13211, FL,Buick,EncoreFWD
15950,2015,37483, AL,Buick,EncoreConvenience
18274,2016,18290, TN,Buick,EncoreFWD
17488,2015,16998, PA,Buick,EncoreAWD
18395,2015,6090, SC,Buick,EncoreConvenience
17777,2015,17637, VA,Buick,EncoreConvenience
15997,2014,22902, MI,Buick,EncoreFWD
17000,2015,13096, KY,Buick,EncoreFWD
16400,2014,21546, WI,Buick,EncoreAWD
16996,2016,21747, NY,Buick,EncoreFWD
15940,2015,25871, GA,Buick,EncoreConvenience
10900,2014,78000, TX,Buick,EncoreFWD
12888,2014,83550, TN,Buick,EncoreConvenience
15713,2014,31267, NV,Buick,EncoreConvenience
16440,2015,44219, WI,Buick,EncoreConvenience
18498,2016,19302, GA,Buick,EncoreConvenience
17820,2016,11991, CA,Buick,EncoreFWD
16897,2015,14536, TN,Buick,EncoreFWD
18990,2016,17864, FL,Buick,EncoreSport
18598,2016,14362, FL,Buick,EncoreFWD
17888,2015,27578, VA,Buick,EncoreAWD
14900,2014,26112, IL,Buick,EncoreConvenience
17497,2015,7440, PA,Buick,EncoreFWD
5993,2005,115374, PA,Buick,Terraza4dr
17999,2016,19951, NC,Buick,EncoreFWD
17793,2015,19987, TX,Buick,EncoreLeather
16897,2015,14865, OK,Buick,EncoreFWD
15230,2015,31101, PA,Buick,EncoreConvenience
13950,2014,41887, PA,Buick,EncoreFWD
17880,2015,12999, FL,Buick,EncoreFWD
16798,2015,22012, AZ,Buick,EncoreFWD
18000,2016,10389, KY,Buick,EncoreFWD
17197,2015,11528, FL,Buick,EncoreFWD
14770,2014,48390, Fl,Buick,EncoreFWD
19852,2017,8021, NV,Buick,EncoreFWD
14000,2014,41505, WA,Buick,EncoreFWD
15690,2015,40813, IL,Buick,EncoreFWD
16977,2015,19537, NC,Buick,EncoreFWD
18973,2016,7840, PA,Buick,EncoreFWD
17197,2015,11736, FL,Buick,EncoreFWD
14997,2014,35983, MI,Buick,EncoreFWD
18900,2016,9669, SC,Buick,EncoreFWD
16497,2015,20196, GA,Buick,EncoreFWD
17999,2015,10588, GA,Buick,EncoreFWD
16700,2015,28577, OH,Buick,EncoreConvenience
17900,2016,10889, LA,Buick,EncoreFWD
13800,2014,67496, NC,Buick,EncoreFWD
16698,2014,19064, IL,Buick,EncoreFWD
16500,2015,20239, KY,Buick,EncoreFWD
16801,2016,35063, PA,Buick,EncoreAWD
16500,2015,20279, KY,Buick,EncoreFWD
18780,2016,16479, TX,Buick,EncoreFWD
17984,2016,23537, NY,Buick,EncoreAWD
16992,2015,15108, WI,Buick,EncoreFWD
18991,2016,13412, MO,Buick,EncoreFWD
14874,2014,31861, TX,Buick,EncoreConvenience
14990,2014,37903, MD,Buick,EncoreConvenience
14998,2014,29896, NY,Buick,EncoreLeather
17986,2015,20881, FL,Buick,EncoreLeather
17940,2016,16368, FL,Buick,EncoreFWD
17000,2014,15447, IN,Buick,EncoreFWD
16820,2015,26418, IL,Buick,EncoreFWD
17277,2014,19555, TX,Buick,EncoreFWD
14995,2015,45350, IL,Buick,EncoreConvenience
16495,2015,20591, UT,Buick,EncoreFWD
18214,2016,15389, TX,Buick,EncoreFWD
12987,2014,65083, TN,Buick,EncoreFWD
17250,2016,20199, MI,Buick,EncoreFWD
17897,2015,3854, NC,Buick,EncoreFWD
20996,2016,4603, TX,Buick,EncoreSport
18000,2015,14952, AL,Buick,EncoreFWD
10555,2013,81208, CA,Buick,EncoreEncore
18000,2016,11314, KY,Buick,EncoreFWD
15422,2015,41729, TX,Buick,EncoreFWD
18495,2015,11861, KS,Buick,EncoreAWD
17995,2015,12631, NM,Buick,EncoreFWD
15995,2015,26906, IL,Buick,EncoreFWD
16798,2014,18596, TN,Buick,EncoreFWD
12500,2015,69145, CA,Buick,EncoreFWD
16797,2015,17426, CA,Buick,EncoreFWD
17715,2015,22543, PA,Buick,EncoreFWD
16960,2015,23714, TX,Buick,EncoreFWD
15994,2015,27145, FL,Buick,EncoreLeather
15299,2014,30598, IN,Buick,EncoreFWD
16995,2015,32362, AZ,Buick,EncoreConvenience
16250,2015,24202, KY,Buick,EncoreFWD
18974,2016,8263, OH,Buick,EncoreAWD
17297,2015,11625, AL,Buick,EncoreFWD
17995,2015,13961, MI,Buick,EncoreConvenience
17999,2015,8492, MI,Buick,EncoreConvenience
16299,2014,26647, TX,Buick,EncoreConvenience
13545,2014,63254, CO,Buick,EncoreConvenience
17857,2016,21838, AZ,Buick,EncoreFWD
15897,2013,24737, NJ,Buick,EncoreEncore
17034,2015,24741, AR,Buick,EncoreFWD
17488,2015,19274, TX,Buick,EncoreConvenience
16291,2015,29528, AZ,Buick,EncoreFWD
16999,2015,15390, TX,Buick,EncoreConvenience
16291,2015,29572, AZ,Buick,EncoreFWD
17900,2015,19282, NE,Buick,EncoreConvenience
17038,2015,29478, NJ,Buick,EncoreConvenience
17544,2015,18691, OH,Buick,EncoreFWD
20499,2017,4120, NC,Buick,EncoreFWD
15995,2012,75686, GA,Buick,Verano4dr
3995,2006,48450, ME,Buick,Rendezvous4dr
15000,2014,43341, AL,Buick,EncoreConvenience
16520,2014,19557, TX,Buick,EncoreFWD
17998,2015,19883, CO,Buick,EncoreAWD
11907,2013,69760, GA,Buick,EncoreEncore
17500,2015,19474, CA,Buick,EncoreFWD
16500,2015,21732, KY,Buick,EncoreFWD
14969,2014,35918, TX,Buick,EncoreConvenience
18000,2015,21630, MO,Buick,EncoreLeather
16935,2014,27293, NJ,Buick,EncoreFWD
18885,2015,4119, FL,Buick,EncoreConvenience
16500,2015,21898, KY,Buick,EncoreFWD
17569,2016,21336, IN,Buick,EncoreFWD
16987,2015,25936, OH,Buick,EncoreConvenience
16946,2014,37494, IN,Buick,EncoreConvenience
18941,2016,13480, MD,Buick,EncoreFWD
18995,2016,10469, CA,Buick,EncoreFWD
18499,2016,16491, AZ,Buick,EncoreFWD
18000,2016,12711, KY,Buick,EncoreFWD
14990,2012,98297, MS,Buick,Verano4dr
15000,2014,31663, KY,Buick,EncoreFWD
20580,2017,14928, TX,Buick,EncoreFWD
16750,2015,19260, KY,Buick,EncoreFWD
15599,2014,34762, IL,Buick,EncoreConvenience
17795,2016,25578, OK,Buick,EncoreSport
16197,2015,25995, GA,Buick,EncoreFWD
16900,2015,20066, MI,Buick,EncoreAWD
14312,2014,57908, AR,Buick,EncoreFWD
18250,2016,9955, KY,Buick,EncoreFWD
16597,2015,21264, CA,Buick,EncoreFWD
14734,2014,48621, OK,Buick,EncoreLeather
18498,2015,11389, FL,Buick,EncoreLeather
14000,2014,52089, OH,Buick,EncoreLeather
18990,2016,17915, WI,Buick,EncoreAWD
18479,2015,14769, KS,Buick,EncorePremium
15995,2014,20088, TX,Buick,EncoreFWD
16397,2015,23872, SC,Buick,EncoreFWD
18995,2015,2415, IN,Buick,EncoreConvenience
14995,2014,34003, OH,Buick,EncoreConvenience
15250,2015,37702, KY,Buick,EncoreFWD
18962,2016,22383, IL,Buick,EncoreConvenience
17749,2015,11069, NJ,Buick,EncoreAWD
15500,2014,26108, KY,Buick,EncoreFWD
16894,2015,30582, AZ,Buick,EncoreFWD
17988,2015,15535, CA,Buick,EncoreConvenience
17197,2015,14353, AZ,Buick,EncoreFWD
16432,2014,24880, IL,Buick,EncoreFWD
17588,2015,24291, OH,Buick,EncoreLeather
16000,2014,20277, KY,Buick,EncoreFWD
14677,2013,38607, FL,Buick,EncoreConvenience
13990,2013,35930, OH,Buick,EncoreConvenience
15300,2014,38587, TX,Buick,EncoreFWD
17997,2015,24393, FL,Buick,EncoreFWD
15477,2014,41310, NC,Buick,EncoreLeather
16250,2015,26057, KY,Buick,EncoreFWD
16495,2015,30356, CA,Buick,EncoreFWD
18999,2016,10060, GA,Buick,EncoreConvenience
16995,2015,27802, MI,Buick,EncoreAWD
14895,2015,46243, NY,Acura,ILX5-Speed
18832,2015,9132, NY,Acura,ILX5-Speed
22000,2017,10, IL,Acura,ILXAutomatic
18990,2012,23099, OR,Acura,TSXAutomatic
17890,2015,24007, MD,Acura,ILX5-Speed
14995,2013,45907, VA,Acura,ILX5-Speed
18490,2014,54500, VA,Acura,TSX5-Speed
16900,2012,58915, NM,Acura,TSXAutomatic
14690,2011,73227, CA,Acura,TSX4dr
12983,2013,98298, WI,Acura,ILX5-Speed
17599,2013,23713, CT,Acura,TLBase
19440,2016,51814, GA,Acura,ILXAutomatic
4995,2004,149872, PA,Acura,TSXAutomatic
12970,2009,69334, MO,Acura,TL4dr
8995,2008,98706, VA,Acura,TL4dr
15772,2012,76678, PA,Acura,TLSH-AWD
9990,2006,90026, TX,Acura,TLAutomatic
10299,2008,102476, NC,Acura,TL4dr
3997,2001,124846, VA,Acura,TLAutomatic
9999,2008,118535, CO,Acura,TL4dr
9495,2008,131639, NC,Acura,TL4dr
8988,2006,131760, TX,Acura,TLAutomatic
15896,2011,71356, NC,Acura,RDXFWD
14350,2010,78697, NJ,Acura,RDXAWD
20890,2014,31967, MD,Acura,TSXSpecial
15980,2012,81719, CA,Acura,RDXFWD
13800,2010,78631, NC,Acura,TSX4dr
25000,2016,13971, TX,Acura,TLXFWD
25199,2016,3206, NJ,Acura,TLXFWD
21899,2014,52675, TX,Acura,RDXFWD
22675,2015,27047, NY,Acura,TLXFWD
22788,2013,40617, CA,Acura,RDXwith
17777,2015,90970, VA,Acura,TLXFWD
23899,2015,18911, CO,Acura,TLXFWD
17977,2015,26456, OH,Acura,ILX5-Speed
15695,2009,99376, TX,Acura,RDXAWD
23926,2015,37578, IL,Acura,TLXFWD
27990,2017,10427, NC,Acura,TLXFWD
26794,2016,21978, AZ,Acura,TLXFWD
12977,2013,103535, OH,Acura,TSX5-Speed
29815,2017,4508, MD,Acura,TLXFWD
26883,2015,18811, NY,Acura,TLXSH-AWD
27480,2015,27488, PA,Acura,RDXFWD
12990,2012,129225, CA,Acura,TL2WD
25988,2015,29069, NH,Acura,TLXFWD
6995,2004,132345, TX,Acura,MDX4WD
31290,2015,13998, CO,Acura,RDXAWD
14500,2011,109797, NY,Acura,MDXAWD
33495,2017,5186, PA,Acura,RDXAWD
30995,2017,4339, NY,Acura,TLXFWD
9988,2006,132182, CO,Acura,MDX4WD
34800,2017,9516, AZ,Acura,RDXAWD
22426,2013,59129, IL,Acura,MDXBase
17490,2010,117079, VA,Acura,MDXAWD
29688,2015,22189, WA,Acura,TLXFWD
16995,2007,74357, HI,Acura,MDX4WD
4000,2004,209762, OR,Acura,MDX4WD
7995,2005,103469, PA,Acura,TLAutomatic
34702,2016,23380, IL,Acura,RDXAWD
24777,2013,62552, AZ,Acura,MDXwith
29495,2014,34897, MN,Acura,MDXAWD
36771,2017,8324, IL,Acura,TLXSH-AWD
29991,2015,41477, CA,Acura,MDXFWD
29987,2014,35848, NJ,Acura,MDXAWD
30686,2015,38720, CA,Acura,MDXFWD
30950,2014,30586, MD,Acura,MDXAWD
32735,2016,40313, NY,Acura,MDXSH-AWD
32500,2015,44610, PA,Acura,MDXAWD
34390,2015,41065, GA,Acura,MDXFWD
38000,2016,14227, CO,Acura,MDXSH-AWD
34341,2015,49520, CO,Acura,MDXAWD
35000,2015,29253, NY,Acura,MDXAWD
37843,2016,26030, VA,Acura,MDXSH-AWD
37500,2016,34895, WA,Acura,MDXSH-AWD
40900,2017,7039, TX,Acura,MDXFWD
39488,2016,23977, MD,Acura,MDXSH-AWD
38587,2015,23637, NJ,Acura,MDXAWD
